GHO,YEAR,REGION,COUNTRY,Numeric,Low,High
TB_e_mort_exc_tbhiv_num,2016,EUR,MDA,260,240,270
TB_e_mort_exc_tbhiv_num,2016,EMR,EGY,290,270,300
TB_e_mort_exc_tbhiv_num,2016,EUR,KGZ,430,420,440
TB_e_mort_exc_tbhiv_num,2016,EUR,KAZ,440,400,480
TB_e_mort_exc_tbhiv_num,2016,EMR,SAU,840,640,1100
TB_e_mort_exc_tbhiv_num,2016,AFR,MLI,1400,830,2100
TB_e_mort_exc_tbhiv_num,2016,AMR,PER,1600,1400,1700
TB_e_mort_exc_tbhiv_num,2016,EUR,UZB,1900,1800,1900
TB_e_mort_exc_tbhiv_num,2016,AFR,CAF,2700,1500,4200
TB_e_mort_exc_tbhiv_num,2016,AFR,LBR,2800,1600,4200
TB_e_mort_exc_tbhiv_num,2016,WPR,LAO,2900,1700,4400
TB_e_mort_exc_tbhiv_num,2016,WPR,JPN,3100,2900,3200
TB_e_mort_exc_tbhiv_num,2016,AFR,CMR,6600,3900,10000
TB_e_mort_exc_tbhiv_num,2016,AMR,,17000,16000,18000
TB_e_mort_exc_tbhiv_num,2016,AFR,MOZ,22000,13000,33000
TB_e_mort_exc_tbhiv_num,2016,EMR,,82000,69000,95000
TB_e_mort_exc_tbhiv_num,2016,AFR,NGA,115000,67000,176000
TB_e_mort_exc_tbhiv_num,2016,AMR,ATG,0,0,0
TB_e_mort_exc_tbhiv_num,2016,AMR,BHS,1,1,1
TB_e_mort_exc_tbhiv_num,2016,AMR,BRB,2,2,2
TB_e_mort_exc_tbhiv_num,2016,AMR,LCA,4,3,5
TB_e_mort_exc_tbhiv_num,2016,AFR,STP,8,3,14
TB_e_mort_exc_tbhiv_num,2016,EUR,ISR,15,15,16
TB_e_mort_exc_tbhiv_num,2016,EUR,EST,16,16,16
TB_e_mort_exc_tbhiv_num,2016,WPR,FSM,20,13,29
TB_e_mort_exc_tbhiv_num,2016,WPR,KIR,35,22,51
TB_e_mort_exc_tbhiv_num,2016,AMR,CUB,39,38,41
TB_e_mort_exc_tbhiv_num,2016,AMR,CRI,42,40,45
TB_e_mort_exc_tbhiv_num,2016,WPR,SGP,51,44,58
TB_e_mort_exc_tbhiv_num,2016,AMR,SLV,77,47,110
TB_e_mort_exc_tbhiv_num,2016,AMR,CAN,99,98,100
TB_e_mort_exc_tbhiv_num,2016,EUR,LTU,190,190,190
TB_e_mort_exc_tbhiv_num,2016,AMR,PAN,220,200,250
TB_e_mort_exc_tbhiv_num,2016,AFR,SWZ,260,150,400
TB_e_mort_exc_tbhiv_num,2016,EUR,ESP,280,280,290
TB_e_mort_exc_tbhiv_num,2016,EMR,DJI,330,210,470
TB_e_mort_exc_tbhiv_num,2016,EMR,TUN,370,210,580
TB_e_mort_exc_tbhiv_num,2016,EUR,POL,480,460,510
TB_e_mort_exc_tbhiv_num,2016,AMR,DOM,560,240,1000
TB_e_mort_exc_tbhiv_num,2016,AMR,VEN,710,710,710
TB_e_mort_exc_tbhiv_num,2016,AFR,MRT,890,530,1400
TB_e_mort_exc_tbhiv_num,2016,AMR,BOL,930,670,1200
TB_e_mort_exc_tbhiv_num,2016,EUR,ROU,1000,1000,1000
TB_e_mort_exc_tbhiv_num,2016,AFR,LSO,1100,560,1800
TB_e_mort_exc_tbhiv_num,2016,SEAR,TLS,1300,750,1900
TB_e_mort_exc_tbhiv_num,2016,AFR,GNB,1400,800,2100
TB_e_mort_exc_tbhiv_num,2016,AFR,GAB,1500,960,2200
TB_e_mort_exc_tbhiv_num,2016,WPR,KOR,2600,2400,2700
TB_e_mort_exc_tbhiv_num,2016,AFR,SLE,3400,2000,5200
TB_e_mort_exc_tbhiv_num,2016,SEAR,PRK,11000,6800,16000
TB_e_mort_exc_tbhiv_num,2016,WPR,VNM,13000,8400,18000
TB_e_mort_exc_tbhiv_num,2016,WPR,CHN,50000,34000,70000
TB_e_mort_exc_tbhiv_num,2016,AMR,DMA,0,0,0
TB_e_mort_exc_tbhiv_num,2016,AMR,KNA,1,1,2
TB_e_mort_exc_tbhiv_num,2016,WPR,NRU,1,1,2
TB_e_mort_exc_tbhiv_num,2016,EUR,ISL,2,2,2
TB_e_mort_exc_tbhiv_num,2016,AMR,JAM,7,7,7
TB_e_mort_exc_tbhiv_num,2016,EUR,SVN,13,13,13
TB_e_mort_exc_tbhiv_num,2016,EMR,LBN,61,37,89
TB_e_mort_exc_tbhiv_num,2016,AMR,NIC,160,110,210
TB_e_mort_exc_tbhiv_num,2016,AFR,RWA,200,73,380
TB_e_mort_exc_tbhiv_num,2016,WPR,MYS,1300,730,2000
TB_e_mort_exc_tbhiv_num,2016,AFR,BDI,2000,1200,3100
TB_e_mort_exc_tbhiv_num,2016,EMR,MAR,3300,2100,4700
TB_e_mort_exc_tbhiv_num,2016,EUR,UKR,4200,4200,4300
TB_e_mort_exc_tbhiv_num,2016,AFR,TCD,4500,2700,6900
TB_e_mort_exc_tbhiv_num,2016,EMR,SDN,5600,3000,9100
TB_e_mort_exc_tbhiv_num,2016,EMR,AFG,11000,6700,17000
TB_e_mort_exc_tbhiv_num,2016,AFR,TZA,28000,13000,50000
